DateTime,Date,Time,Day,Hour,Time_Of_Day,DateID
4/19/2025 0:00,4/19/2025,12:00:00 AM,Saturday,0,Night,20240533
4/19/2025 3:00,4/19/2025,3:00:00 AM,Saturday,3,Night,20240534
4/19/2025 6:00,4/19/2025,6:00:00 AM,Saturday,6,Morning,20240535
4/19/2025 9:00,4/19/2025,9:00:00 AM,Saturday,9,Morning,20240536
4/19/2025 12:00,4/19/2025,12:00:00 PM,Saturday,12,Afternoon,20240537
4/19/2025 15:00,4/19/2025,3:00:00 PM,Saturday,15,Afternoon,20240538
4/19/2025 18:00,4/19/2025,6:00:00 PM,Saturday,18,Evening,20240539
4/19/2025 21:00,4/19/2025,9:00:00 PM,Saturday,21,Night,20240540
4/20/2025 0:00,4/20/2025,12:00:00 AM,Sunday,0,Night,20240541
4/20/2025 3:00,4/20/2025,3:00:00 AM,Sunday,3,Night,20240542
4/20/2025 6:00,4/20/2025,6:00:00 AM,Sunday,6,Morning,20240543
4/20/2025 9:00,4/20/2025,9:00:00 AM,Sunday,9,Morning,20240544
4/20/2025 12:00,4/20/2025,12:00:00 PM,Sunday,12,Afternoon,20240545
4/20/2025 15:00,4/20/2025,3:00:00 PM,Sunday,15,Afternoon,20240546
4/20/2025 18:00,4/20/2025,6:00:00 PM,Sunday,18,Evening,20240547
4/20/2025 21:00,4/20/2025,9:00:00 PM,Sunday,21,Night,20240548
4/21/2025 0:00,4/21/2025,12:00:00 AM,Monday,0,Night,20240549
4/21/2025 3:00,4/21/2025,3:00:00 AM,Monday,3,Night,20240550
4/21/2025 6:00,4/21/2025,6:00:00 AM,Monday,6,Morning,20240551
4/23/2025 15:00,4/23/2025,3:00:00 PM,Wednesday,15,Afternoon,20240552
4/23/2025 18:00,4/23/2025,6:00:00 PM,Wednesday,18,Evening,20240553
4/23/2025 21:00,4/23/2025,9:00:00 PM,Wednesday,21,Night,20240554
4/24/2025 0:00,4/24/2025,12:00:00 AM,Thursday,0,Night,20240555
4/24/2025 3:00,4/24/2025,3:00:00 AM,Thursday,3,Night,20240556
4/24/2025 15:00,4/24/2025,3:00:00 PM,Thursday,15,Afternoon,20240557
4/24/2025 18:00,4/24/2025,6:00:00 PM,Thursday,18,Evening,20240558
4/24/2025 21:00,4/24/2025,9:00:00 PM,Thursday,21,Night,20240559
4/25/2025 0:00,4/25/2025,12:00:00 AM,Friday,0,Night,20240560
4/25/2025 3:00,4/25/2025,3:00:00 AM,Friday,3,Night,20240561
4/25/2025 6:00,4/25/2025,6:00:00 AM,Friday,6,Morning,20240562
4/21/2025 9:00,4/21/2025,9:00:00 AM,Monday,9,Morning,20240563
4/21/2025 12:00,4/21/2025,12:00:00 PM,Monday,12,Afternoon,20240564
4/21/2025 15:00,4/21/2025,3:00:00 PM,Monday,15,Afternoon,20240565
4/21/2025 18:00,4/21/2025,6:00:00 PM,Monday,18,Evening,20240566
4/21/2025 21:00,4/21/2025,9:00:00 PM,Monday,21,Night,20240567
4/22/2025 0:00,4/22/2025,12:00:00 AM,Tuesday,0,Night,20240568
4/22/2025 3:00,4/22/2025,3:00:00 AM,Tuesday,3,Night,20240569
